City,CityID,Area,Address,TransDate,Year,Type,Price,lat,lng
臺北市,A,中山區,臺北市中山區敬業三路162巷61~90號,2016/11/13,2016,住宅大樓(11層含以上有電梯),469521,25.07832,121.558995
臺北市,A,內湖區,臺北市內湖區民權東路六段206巷143弄31~60號,2016/10/31,2016,華廈(10層含以下有電梯),727937,25.0671158,121.5790779
臺北市,A,中山區,臺北市中山區南京東路二段181~210號,2016/12/4,2016,住宅大樓(11層含以上有電梯),753557,25.0519315,121.5351367
臺北市,A,大同區,臺北市大同區庫倫街13巷3弄1~30號,2016/11/7,2016,公寓(5樓含以下無電梯),279395,25.0727158,121.5174673
臺北市,A,萬華區,臺北市萬華區環河南路一段61~90號,2016/11/8,2016,套房(1房1廳1衛),349203,25.0452812,121.5023915
臺北市,A,內湖區,臺北市內湖區內湖路一段737巷91~120號,2016/7/17,2016,住宅大樓(11層含以上有電梯),508367,25.0824259,121.5792856
臺北市,A,內湖區,臺北市內湖區文湖街21巷82弄1~30號,2016/11/7,2016,華廈(10層含以下有電梯),463385,25.0889762,121.5604314
臺北市,A,文山區,臺北市文山區忠順街二段61~90號,2016/11/6,2016,公寓(5樓含以下無電梯),327818,24.98508,121.564526
臺北市,A,中正區,臺北市中正區林森南路91~120號,2016/11/30,2016,華廈(10層含以下有電梯),896013,25.0383003,121.521531
臺北市,A,松山區,臺北市松山區新中街1~30號,2016/11/24,2016,華廈(10層含以下有電梯),1336942,25.0610739,121.560509
臺北市,A,信義區,臺北市信義區松德路151~180號,2016/11/22,2016,住宅大樓(11層含以上有電梯),1109610,25.036644,121.574876
臺北市,A,松山區,臺北市松山區撫遠街369巷31~60號,2016/12/5,2016,公寓(5樓含以下無電梯),472473,25.064101,121.5665936
臺北市,A,南港區,臺北市南港區福德街309巷1~30號,2016/11/26,2016,公寓(5樓含以下無電梯),574086,25.0390746,121.5878163
臺北市,A,南港區,臺北市南港區成福路194巷1弄1~30號,2016/11/28,2016,公寓(5樓含以下無電梯),467098,25.0409767,121.5878932
臺北市,A,松山區,臺北市松山區三民路107巷1~30號,2016/11/13,2016,公寓(5樓含以下無電梯),669435,25.055365,121.5639326
臺北市,A,內湖區,臺北市內湖區安泰街53巷1~30號,2016/12/2,2016,公寓(5樓含以下無電梯),324790,25.0743669,121.6171096
臺北市,A,中山區,臺北市中山區林森北路121~150號,2016/11/25,2016,套房(1房1廳1衛),748278,25.0508214,121.5251558
臺北市,A,南港區,臺北市南港區經園街61~90號,2016/11/15,2016,華廈(10層含以下有電梯),781646,25.0620948,121.6169135
臺北市,A,松山區,臺北市松山區八德路三段155巷1~30號,2016/10/10,2016,公寓(5樓含以下無電梯),523841,25.047847,121.553928
臺北市,A,南港區,臺北市南港區重陽路57巷61~90號,2016/10/2,2016,華廈(10層含以下有電梯),511815,25.0559231,121.5970315
臺北市,A,松山區,臺北市松山區八德路二段437巷10弄1~30號,2016/11/29,2016,華廈(10層含以下有電梯),587656,25.049583,121.5471946
臺北市,A,松山區,臺北市松山區八德路二段331~360號,2016/11/21,2016,住宅大樓(11層含以上有電梯),726245,25.0475222,121.5432525
臺北市,A,松山區,臺北市松山區南京東路四段75巷1~30號,2016/11/8,2016,住宅大樓(11層含以上有電梯),595345,25.0519742,121.5495307
臺北市,A,萬華區,臺北市萬華區漢口街二段1~30號,2016/12/1,2016,住宅大樓(11層含以上有電梯),659640,25.045363,121.508613
臺北市,A,大同區,臺北市大同區民生西路211~240號,2016/11/11,2016,套房(1房1廳1衛),691306,25.0572537,121.5163166
臺北市,A,文山區,臺北市文山區興隆路二段96巷31~60號,2016/11/4,2016,透天厝,553289,24.9989702,121.5503099
臺北市,A,文山區,臺北市文山區萬盛街151~180號,2016/11/20,2016,公寓(5樓含以下無電梯),398512,25.0053413,121.5433334
臺北市,A,文山區,臺北市文山區政大二街260巷31~60號,2016/11/6,2016,套房(1房1廳1衛),437792,24.9888575,121.5871797
臺北市,A,文山區,臺北市文山區景興路211~240號,2016/10/30,2016,華廈(10層含以下有電梯),494598,24.9916894,121.5438046
臺北市,A,中正區,臺北市中正區中華路二段441巷1~30號,2016/11/19,2016,公寓(5樓含以下無電梯),339015,25.0254627,121.5091353
臺北市,A,文山區,臺北市文山區和平東路四段61~90號,2016/11/8,2016,華廈(10層含以下有電梯),457805,24.9996543,121.5738666
臺北市,A,中山區,臺北市中山區林森北路85巷31~60號,2016/10/29,2016,套房(1房1廳1衛),679339,25.0495469,121.526024
臺北市,A,萬華區,臺北市萬華區內江街121~150號,2016/11/16,2016,住宅大樓(11層含以上有電梯),684149,25.041918,121.500497
臺北市,A,大同區,臺北市大同區延平北路四段294巷1~30號,2016/11/17,2016,住宅大樓(11層含以上有電梯),331160,25.07743,121.5109789
臺北市,A,內湖區,臺北市內湖區成功路五段450巷21弄31~60號,2016/10/30,2016,住宅大樓(11層含以上有電梯),619521,25.0733091,121.607762
臺北市,A,內湖區,臺北市內湖區康寧路三段219巷1~30號,2016/11/24,2016,公寓(5樓含以下無電梯),396833,25.0681001,121.6122203
臺北市,A,中山區,臺北市中山區明水路397巷7弄1~30號,2016/5/16,2016,華廈(10層含以下有電梯),747663,25.078172,121.548549
臺北市,A,內湖區,臺北市內湖區康寧路三段189巷159弄1~30號,2016/11/21,2016,公寓(5樓含以下無電梯),420324,25.0753214,121.6123889
臺北市,A,內湖區,臺北市內湖區南京東路六段121~150號,2016/10/25,2016,華廈(10層含以下有電梯),183855,25.0557841,121.5781521
臺北市,A,大安區,臺北市大安區復興南路一段253巷31~60號,2016/10/4,2016,華廈(10層含以下有電梯),457597,25.042736,121.5455668
臺北市,A,大安區,臺北市大安區仁愛路三段121~150號,2016/10/12,2016,住宅大樓(11層含以上有電梯),1275669,25.0382972,121.54191
臺北市,A,文山區,臺北市文山區興隆路二段217巷1~30號,2016/11/26,2016,住宅大樓(11層含以上有電梯),576020,25.0018867,121.5494938
臺北市,A,文山區,臺北市文山區興隆路一段251巷2弄1~30號,2016/11/11,2016,公寓(5樓含以下無電梯),483418,24.9995678,121.5446108
臺北市,A,大安區,臺北市大安區建國南路一段175巷1~30號,2016/11/21,2016,住宅大樓(11層含以上有電梯),672321,25.040936,121.5380885
臺北市,A,士林區,臺北市士林區中山北路六段252巷1~30號,2016/11/8,2016,華廈(10層含以下有電梯),691719,25.1026064,121.5251309
臺北市,A,北投區,臺北市北投區光明路241~270號,2016/11/15,2016,套房(1房1廳1衛),400998,25.136276,121.5075125
臺北市,A,北投區,臺北市北投區文林北路272巷1~30號,2016/11/5,2016,公寓(5樓含以下無電梯),437379,25.1094279,121.5131981
臺北市,A,士林區,臺北市士林區士商路91~120號,2016/11/11,2016,公寓(5樓含以下無電梯),490942,25.0957539,121.5159145
臺北市,A,北投區,臺北市北投區承德路七段112巷1~30號,2016/11/10,2016,公寓(5樓含以下無電梯),362873,25.11037,121.510769
臺北市,A,士林區,臺北市士林區忠誠路一段171巷12弄1~30號,2016/11/11,2016,住宅大樓(11層含以上有電梯),427160,25.1063602,121.5311623
臺北市,A,北投區,臺北市北投區中和街361~390號,2016/11/15,2016,住宅大樓(11層含以上有電梯),402165,25.141735,121.498943
臺北市,A,北投區,臺北市北投區明德路333巷31~60號,2016/11/23,2016,公寓(5樓含以下無電梯),205180,25.1164441,121.5184283
臺北市,A,北投區,臺北市北投區懷德街75巷1~30號,2016/10/12,2016,公寓(5樓含以下無電梯),636502,25.1142359,121.519092
臺北市,A,北投區,臺北市北投區三合街一段82巷31~60號,2014/10/12,2014,華廈(10層含以下有電梯),750486,25.1282575,121.5046599
臺北市,A,內湖區,臺北市內湖區星雲街121~150號,2016/11/12,2016,住宅大樓(11層含以上有電梯),811693,25.080037,121.5950035
臺北市,A,中正區,臺北市中正區臨沂街24巷1~30號,2016/11/9,2016,華廈(10層含以下有電梯),792149,25.0402341,121.5298351
臺北市,A,松山區,臺北市松山區八德路三段106巷61~90號,2016/10/11,2016,華廈(10層含以下有電梯),732403,25.0448492,121.5544152
臺北市,A,中山區,臺北市中山區安東街16巷1~30號,2016/10/26,2016,華廈(10層含以下有電梯),469388,25.0454017,121.5408731
